Country Name,Country Code,2010,2011,2012,2013,2014
Afghanistan,AFG,20.60000038,20.89999962,19.70000076,21.10000038,20.79999924
Angola,AGO,10.80000019,10.69999981,10.69999981,10.60000038,10.5
Albania,ALB,25.79999924,27,28.29999924,28.70000076,29.20000076
Arab World,ARB,25.02221416,28.11751567,29.11321202,29.33530604,29.70456912
United Arab Emirates,ARE,9.800000191,9.800000191,9.800000191,9.899999619,10
Argentina,ARG,19.5,18.79999924,18.39999962,19.70000076,21.29999924
Armenia,ARM,38.29999924,38.70000076,35,32.5,35.09999847
Australia,AUS,11.39999962,11.39999962,11.69999981,12.19999981,13.10000038
Austria,AUT,8.800000191,8.199999809,8.699999809,9.100000382,9.199999809
Azerbaijan,AZE,14.60000038,14.5,14.30000019,13.39999962,13.60000038
Burundi,BDI,10.80000019,10.80000019,10.80000019,10.80000019,10.69999981
Belgium,BEL,22.5,18.60000038,19.70000076,23.10000038,23.60000038
Benin,BEN,2,2,2,1.799999952,1.700000048
Burkina Faso,BFA,5.199999809,5.300000191,5.199999809,5.199999809,5
Bangladesh,BGD,8.199999809,8.199999809,8.199999809,8.899999619,9.100000382
Bulgaria,BGR,22.89999962,25.20000076,28.20000076,29.70000076,25.89999962
Bahrain,BHR,10.19999981,11.39999962,10.5,10.60000038,10.89999962
"Bahamas, The",BHS,36,27.20000076,30.39999962,30.79999924,30.10000038
Bosnia and Herzegovina,BIH,57.20000076,57.09999847,61.70000076,57.40000153,57.5
Belarus,BLR,13.19999981,12.5,11.80000019,12,12
Belize,BLZ,20.89999962,24.29999924,26,22.39999962,22
Bolivia,BOL,6,5.5,5.5,5.099999905,5.199999809
Brazil,BRA,17.20000076,15.19999981,14.39999962,14.69999981,15.19999981
Barbados,BRB,25.29999924,25.5,26.5,26.20000076,26.79999924
Brunei Darussalam,BRN,10.89999962,10.89999962,11,11.30000019,11.10000038
Bhutan,BTN,8.399999619,8.399999619,6.400000095,10.39999962,10
Botswana,BWA,33,33.20000076,33.29999924,32.79999924,33.90000153
Central African Republic,CAF,10.80000019,10.80000019,10.69999981,12,11.89999962
Canada,CAN,14.80000019,14.10000038,14.30000019,13.80000019,13.39999962
Central Europe and the Baltics,CEB,24.55851044,25.48077081,26.32247092,26.77545896,24.32673518
Switzerland,CHE,7.699999809,7.599999905,8.5,8.800000191,8.699999809
Chile,CHL,18.60000038,17.60000038,16.20000076,16.10000038,16.39999962
China,CHN,9,9.300000191,9.699999809,10.10000038,10.5
Cote d'Ivoire,CIV,6.199999809,6.300000191,6,6,5.800000191
Cameroon,CMR,6.400000095,6.400000095,6.400000095,6.300000191,6.699999809
"Congo, Rep.",COG,10.60000038,10.80000019,10.80000019,10.80000019,10.69999981
Colombia,COL,24.29999924,23.20000076,20.60000038,16.89999962,18.89999962
Comoros,COM,10.60000038,10.60000038,10.5,10.5,10.60000038
Cabo Verde,CPV,18.20000076,18.10000038,18.29999924,18.29999924,18.79999924
Costa Rica,CRI,17,17,18.79999924,19.89999962,19.20000076
Caribbean small states,CSS,25.00404981,23.85882696,25.97757355,26.47746032,24.59677537
Cuba,CUB,6.099999905,6.699999809,6.800000191,6.900000095,7.099999905
Cyprus,CYP,16,21.39999962,26.79999924,36.90000153,35.70000076
Czech Republic,CZE,18.5,17.89999962,19.60000038,18.89999962,16.70000076
Germany,DEU,9.699999809,8.399999619,8.100000382,7.800000191,7.599999905
Denmark,DNK,14.10000038,14.30000019,14.10000038,13,12.39999962
Dominican Republic,DOM,25.29999924,30,30.89999962,31.89999962,31.39999962
Algeria,DZA,22.20000076,22.5,26.29999924,20.39999962,20
East Asia & Pacific (excluding high income),EAP,11.00182193,10.68795967,10.89142058,11.51148384,11.79057892
Early-demographic dividend,EAR,14.25074593,14.18041932,14.32833225,14.22318104,14.35050363
East Asia & Pacific,EAS,10.92512961,10.58613711,10.75469503,11.2969454,11.5704049
Europe & Central Asia (excluding high income),ECA,19.22433988,18.3308471,17.84104195,17.29501611,17.24928397
Europe & Central Asia,ECS,20.43299976,20.22957008,21.10394243,21.18322036,20.88998025
Ecuador,ECU,11.30000019,10.69999981,10.89999962,9.800000191,10.80000019
"Egypt, Arab Rep.",EGY,26.29999924,33.90000153,37.90000153,41.70000076,42
Euro area,EMU,22.38713073,22.9145776,25.80809489,26.93888968,27.58394598
Eritrea,ERI,10.80000019,10.60000038,10.60000038,10.80000019,10.89999962
Spain,ESP,42.5,47.09999847,54.29999924,57.09999847,57.90000153
Estonia,EST,33.29999924,22.60000038,21,18.70000076,17
Ethiopia,ETH,7.400000095,7.5,7.900000095,6.599999905,7.099999905
European Union,EUU,22.15853143,22.79359585,25.03258577,25.71726864,25.11613919
Fragile and conflict affected situations,FCS,16.13627162,16.68354951,16.61488938,16.60343442,16.66226142
Finland,FIN,20.39999962,18.89999962,17.79999924,19.60000038,19.20000076
Fiji,FJI,20.10000038,20.10000038,20.20000076,19.60000038,18.60000038
France,FRA,22.60000038,21.89999962,23.79999924,23.70000076,23.89999962
Gabon,GAB,34.5,34.5,34.59999847,35.70000076,35.5
United Kingdom,GBR,19.60000038,20.10000038,21.39999962,20.29999924,16.70000076
Georgia,GEO,36.79999924,36.59999847,33.79999924,35.70000076,34.09999847
Ghana,GHA,11.39999962,9.399999619,7.400000095,1.899999976,3.299999952
Guinea,GIN,1.899999976,1.399999976,1.399999976,1.5,1.700000048
"Gambia, The",GMB,10.69999981,11.10000038,10.69999981,10.69999981,10.60000038
Guinea-Bissau,GNB,10.69999981,10.60000038,11,11,11.10000038
Equatorial Guinea,GNQ,10.80000019,10.60000038,10.69999981,11,12.60000038
Greece,GRC,32.40000153,44.09999847,54.70000076,58,53.90000153
Guatemala,GTM,5.699999809,7.400000095,5.599999905,5.699999809,5.400000095
Guyana,GUY,23.29999924,22.89999962,23.10000038,23.39999962,23.79999924
High income,HIC,18.51720393,18.18417641,18.65356888,18.58911295,17.83189196
"Hong Kong SAR, China",HKG,12.10000038,9.199999809,9.300000191,8.899999619,8.5
Honduras,HND,9.100000382,8.300000191,7.099999905,6.900000095,6.900000095
Heavily indebted poor countries (HIPC),HPC,11.67657988,11.63183499,11.48885495,11.05718514,11.12491988
Croatia,HRV,33.5,36.59999847,44.09999847,50.29999924,45.90000153
Haiti,HTI,19.29999924,16.70000076,17.29999924,17,17.10000038
Hungary,HUN,26.60000038,26,27.89999962,27,21
IBRD only,IBD,13.96016707,13.99020624,14.20912612,14.30328981,14.54452811
IDA & IBRD total,IBT,13.22616099,13.19784356,13.31278214,13.35477228,13.53112602
IDA total,IDA,11.25090026,11.12213538,11.03727109,11.02792824,11.1285157
IDA blend,IDB,10.54681827,10.24766841,10.17111324,10.48135345,10.61902783
Indonesia,IDN,25,21.39999962,20.29999924,21.79999924,21.79999924
IDA only,IDX,11.65618089,11.61938774,11.52256997,11.32930665,11.40490842
India,IND,10.19999981,10.30000019,10.69999981,10.39999962,10.39999962
Ireland,IRL,28,29.10000038,30.39999962,26.70000076,25.79999924
"Iran, Islamic Rep.",IRN,28.39999962,28.39999962,28.29999924,28.79999924,29.39999962
Iraq,IRQ,32.29999924,32.40000153,32.40000153,32.09999847,34.59999847
Iceland,ISL,16.10000038,14.60000038,13.39999962,11.10000038,10.89999962
Israel,ISR,13.60000038,11.60000038,12.30000019,10.69999981,11
Italy,ITA,27.79999924,29.10000038,35.20000076,39.70000076,44.09999847
Jamaica,JAM,30,29.5,32.90000153,35.70000076,30.5
Jordan,JOR,30.10000038,31.60000038,31.29999924,33.29999924,28.79999924
Japan,JPN,9.100000382,8,7.800000191,6.800000191,6.5
Kazakhstan,KAZ,6,5.300000191,4.599999905,4.099999905,3.5
Kenya,KEN,17.10000038,17.10000038,17.29999924,17.29999924,17.39999962
Kyrgyz Republic,KGZ,16.60000038,15.89999962,16.60000038,15.30000019,14.69999981
Cambodia,KHM,0.899999976,0.699999988,0.5,0.699999988,0.899999976
"Korea, Rep.",KOR,9.699999809,9.699999809,8.899999619,9.199999809,10.39999962
