Subject,CrsNum,CreditHrs,1074,1077,1081,1084,1087,1091,1094,1097,1101,1104,1107,1111,1114,1117,1121,1124,1127,1131,1134,1137,1141,1144,1147,1151,1154,1157,1161,1164,1167,1171
ACMA,210,3,,51,,,45,,,65,,,71,,,79,,,62,,,60,,,46,,,45,,,43,
,315,3,,,21,,,23,,,17,,,30,,,28,,,32,,,26,,,11,,,,,,
,320,5,,,25,,,26,,,22,,,23,,,30,,,31,,,30,,,11,,,19,,,15
,335,3,,20,,,18,,,26,,,28,,,22,,,18,,,18,,,27,,,12,,,,
,395,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,9,19
,425,3,,22,,,20,,,25,,,21,,,13,,,18,,,21,,,,18,,16,,,17,
,445,3,,,16,,,12,,,16,,,10,,,12,,,12,,,12,,,19,,,15,,,
,465,3,,16,,,,,,,13,,,,,13,,,,,,,16,,,,,,,,,
,470,3,,,,,20,,,,,,,,,,,,,,,17,,,,,,25,,,,8
,475,3,,,12,,,,,29,,,,21,,,,,,21,,,,,38,,,,,,15,
,490,3,,4,,,4,1,,1,,,20,,,,5,,3,4,,1,,,1,,,,5,,,8
,495,3,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,
BISC,100,4,94,176,112,108,189,108,116,178,114,139,162,87,143,182,72,113,171,74,113,161,51,54,112,54,51,88,,63,79,52
,101,4,131,585,427,153,475,507,169,482,512,171,482,567,170,595,331,137,622,331,142,606,374,166,609,335,156,586,318,160,600,342
,102,4,99,295,358,,394,294,151,384,316,186,395,332,157,330,362,104,290,339,123,340,395,115,272,377,115,277,385,116,260,393
,111,3,,,,,,,,,,,,,,,,,,,,,,1,,,,37,,,,
,112,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,16,
,113,3,,,,,,,,,,,,,,,,,,,,,,,,,,33,62,65,,65
,202,3,108,226,179,,307,180,138,306,160,,324,189,158,312,233,129,304,192,82,305,187,124,346,223,110,327,238,133,315,186
,204,3,,135,99,72,129,56,,138,97,58,131,95,,131,113,,140,79,,118,94,,116,101,,135,88,,118,66
,272,3,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,
,298,3,,,,,,,,,,,,,,,,,,,,,,,3,3,,4,4,2,1,7
,300,3,65,170,,84,147,120,,128,,79,105,82,,123,129,,119,155,,123,120,,111,103,,140,104,,,133
,302,3,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,
,302W,3,,94,,75,60,,,101,,,,103,,,,,,92,,,60,,,55,,,73,,,95
,303,3,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,69,,72,72,,90,70,66,89,89,,88,89,,73,90,,71,70,,88,78,,86,90,,87,89,
,304,3,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,
,304W,3,,69,,,103,,,,,,79,,,86,,,88,,,,90,,,55,,,,,,
,305,3,129,66,,133,97,,90,51,,100,113,,45,121,,41,115,,66,119,,38,84,,,122,18,36,110,
,306,4,,,92,,,48,,,93,,,61,,,69,,,44,,,57,,,43,,,66,,,43
,307W,3,,,20,,,35,,,36,,,34,,,71,,,75,,68,,,72,,,,,,,
,308,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,
,309,3,,,,,,76,,,75,,,58,,,84,,,66,,89,,,73,,,50,,,58,
,312,3,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,313,3,,,54,,,50,,,61,,,63,,,59,,,108,,,41,,,48,,,69,,,60
,316,3,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,113,,66,111,,85,103,,58,108,,75,91,,80,89,,85,98,,62,78,,59,119,,57,98,
,317,3,,24,,,48,,,48,,,48,,,49,,,46,,,49,,,47,,,50,,,48,
,318,3,,,,,,,,,,,,,,,,,,,,,64,,,70,,,71,,,47
,326,3,,,,,40,,,49,,,51,,,50,,,49,,,49,,,50,,,,,,50,
,329,4,51,71,,67,69,,,70,,55,47,,54,43,,,57,,,,56,,,52,,,,,,
,333,3,102,,146,77,,148,127,,125,53,,126,77,,137,55,,127,67,106,94,,,118,76,,131,58,69,65
,337,4,,,,58,,62,,,60,,,58,,,56,,,50,,,60,,,55,,,53,,,57
,341,3,13,10,9,14,10,8,12,7,6,16,7,5,12,11,2,9,13,3,14,6,9,17,9,8,10,9,3,12,9,5
,342,3,15,4,14,14,6,10,12,7,6,8,8,7,7,5,5,9,4,6,9,6,4,11,6,11,9,7,8,8,2,7
,357,3,,,71,,,95,,,70,,70,,,90,,,70,,,71,,,55,,,89,,,90,
,366,3,,61,,,55,,,,78,,,34,,,54,,,49,,,33,,,39,,,36,,,37
,367W,3,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
,372,3,,,,,,,,,,,,,,,,,,,,,40,,,39,,,21,,,18
,373,2,,,,,,,,,,,,,,,,,,,,,,,,17,,,15,,,15
,403,3,114,67,,,95,,,,41,,,32,,,,,,65,,,,71,,28,,,47,,49,
,404W,3,,43,,,,,,57,,,,,,36,,,28,,,28,,,26,,,,,,28,
,405,3,,,,,,,,,56,,,,,,115,,,,,,89,,36,,,,,,,101
,406,3,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,
,407,3,,,23,,,23,,,,,,15,,,,,,,,21,,,,15,,,,,,34
,410,3,,,51,,,,,,43,,,,,,36,,,,,,34,,,,,,39,,,
,413,3,,,,,,,,,,,,39,,,,,,,,,31,,,,,43,,,,
,414,3,,26,,,19,,,43,,,,,,,,,55,,,43,,,45,,,46,,,43,
,418,3,,,48,,,56,,,54,,,52,,,31,,,74,,,,,,,,,,,,
,419,3,,,,,,47,,,,,,,,,45,,,,,,,,,,,,,,,
,420,3,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,
,422,3,,,65,,,,,90,,,,,,77,,,,,,72,,,,,,67,,,,61
,425,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
,429W,4,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,430,3,,,,,,,,45,,,,,,43,,,,,,,23,,,,,,,,,
,432,3,,22,,,34,,,,,,45,,,,,,24,,,,,,23,,,,,,,
,434,3,,,,,16,,,,,,,,,,,,,,,,,,,,,,,21,,
,435,3,,21,,,,,,19,,,,,,,,,,,,,22,,,,,,,,,27
,439,4,,,,,,20,,,,,,20,,,,,,21,,,,,,,,,,,,20
,440,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,440W,3,,15,,,,,,,,,25,,,,,,,23,,,13,,,,,26,,,,
,441,3,,,36,,,37,,,,,,39,,,,,40,,,,,,40,,,,,,42,
,443,3,6,7,4,12,7,3,10,5,6,6,2,6,9,6,3,4,3,4,4,7,1,5,4,2,5,6,3,12,2,2
,444,3,6,1,5,5,3,3,3,6,2,6,,3,7,4,3,5,2,4,3,1,2,4,,3,2,3,5,1,4,4
,445,3,,,72,,,80,,,,,,65,,,,,,,,,61,,,,,,82,,,
,446,3,1,,1,,,3,2,1,3,4,1,,2,2,1,2,2,,3,,,3,,,1,1,2,1,1,
,449,4,,12,,,,,,,,20,,,,11,,,,,,,,,,,,,,,,
,455,3,,38,,,,,,,45,,,,,,48,,,,,,32,,,27,,,,,,20
,457,3,,27,,,63,,,,,,60,,,,,,34,,,,,,27,,,,,,,
,471,3,,,,,,,,,,,21,,,,,,22,,56,,8,,9,13,,,,,,33
,471W,3,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
,472,3,,19,,,,38,,,,,,28,,,,,,,,,,,,,,,,,,24
,473,3,,,,,7,,,,,,20,,,,24,,9,14,,,20,,,28,,29,,,15,
,474,3,,,,,,,,24,24,,,,,,,,40,,,,,,,,,4,,,,
,,4,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,475,3,,17,55,,,,,,,,,,,,,,1,,,,,,4,7,,,6,,,
,490,5,7,6,5,5,7,11,5,9,7,5,9,7,2,7,8,3,6,9,5,9,12,5,4,6,5,,4,3,1,3
,491,5,6,6,6,5,6,12,4,10,6,5,9,7,3,6,9,3,6,7,6,9,11,8,4,6,4,1,5,2,1,3
,492W,5,6,6,6,5,6,12,4,10,7,5,9,7,3,6,9,3,6,7,4,10,12,8,3,7,4,1,5,1,2,3
,497W,3,,2,2,2,5,6,5,5,10,3,6,4,1,6,3,3,2,3,4,5,4,,2,4,,4,3,2,2,2
